
河南频道,#genre#
河南卫视,http://49.232.131.30:99/dxxw.php?id=hnws
河南都市,http://49.232.131.30:99/dxxw.php?id=hnds
河南民生,http://49.232.131.30:99/dxxw.php?id=hnms
河南法治,http://49.232.131.30:99/dxxw.php?id=hmfz
河南电视剧,http://49.232.131.30:99/dxxw.php?id=hndsj
河南新闻,http://49.232.131.30:99/dxxw.php?id=hnxw
河南公共,http://49.232.131.30:99/dxxw.php?id=hngg
河南乡村,http://49.232.131.30:99/dxxw.php?id=hnxc
河南国际,http://49.232.131.30:99/dxxw.php?id=hngj
河南梨园,http://49.232.131.30:99/dxxw.php?id=hnly
河南文物宝库,http://49.232.131.30:99/dxxw.php?id=wwbk
河南武术世界,http://49.232.131.30:99/dxxw.php?id=wspd
河南睛彩中原,http://49.232.131.30:99/dxxw.php?id=jczy
河南移动戏曲,http://49.232.131.30:99/dxxw.php?id=ydxj
河南象视界,http://49.232.131.30:99/dxxw.php?id=xsj
CCTV6,http://49.232.131.30:99/1905.php?id=cctv6
国内电影1905,http://49.232.131.30:99/1905.php?id=1905b
国外电影1905,http://49.232.131.30:99/1905.php?id=1905a
郑州新闻综合,http://49.232.131.30:99/dxxw.php?id=zz1
开封新闻综合,http://49.232.131.30:99/dxxw.php?id=kf1
平顶山新闻综合,http://49.232.131.30:99/dxxw.php?id=pds1
安阳新闻综合,http://49.232.131.30:99/dxxw.php?id=ay1
鹤壁新闻综合,http://49.232.131.30:99/dxxw.php?id=hb1
洛阳新闻综合,http://49.232.131.30:99/dxxw.php?id=ly1
新乡新闻综合,http://49.232.131.30:99/dxxw.php?id=xx1
焦作新闻综合,http://49.232.131.30:99/dxxw.php?id=jz1
许昌新闻综合,http://49.232.131.30:99/dxxw.php?id=xc1
漯河新闻综合,http://49.232.131.30:99/dxxw.php?id=lh1
三门峡新闻综合,http://49.232.131.30:99/dxxw.php?id=smx1
南阳新闻综合,http://49.232.131.30:99/dxxw.php?id=ny1
商丘新闻综合,http://49.232.131.30:99/dxxw.php?id=sq1
信阳新闻综合,http://49.232.131.30:99/dxxw.php?id=xy1
周口新闻综合,http://49.232.131.30:99/dxxw.php?id=zk1
驻马店新闻综合,http://49.232.131.30:99/dxxw.php?id=zmd1
